Gruppe;Code;EANNummer;Hersteller;Deutsche Produktbezeichnung;Englische Produktbezeichnung;Menge;Einheit;ISO-Code;Chemica BioChemica;CAS-Nr;eClass-Version;eClass;NAG;HS-Nr;EG-Nr;Summenformel;UN-Nr;Tunnelbeschränkungscode;Transportbezeichnung Landverkehr;Klasse / Verpackungsgruppe;Begrenzte Menge (LQ);Dichte;Schmelzpunkt;Lagerung;Haltbarkeit in Monaten;LGK;WGK;M;H-Sätze;P-Sätze;Signalwort;Gefahrstoffsymbole;Versand;Trockeneiszuschlag;Chargenpflicht;Endverbleibserklärung;Exportverbote und -einschränkungen;Chemiewaffentauglich;Explosivstoffetauglichkeit;Drogenausgangsstoff;Bruttogewicht;Nettogewicht;Volumen;Produktlink;Produktinfo;Sicherheitsdatenblatt Deutschland;Sicherheitsdatenblatt Schweiz;Analysezertifikat verfügbar;Bild;PHYSIKALISCHE DATEN;QUALITÄT;HEADLINE KOMMENTAR;KURZBESCHREIBUNG;URSPRUNG;PHYSICAL DESCRIPTION;QUALTIY;HEADLINE COMMENT;SHORTDESCRIPTION;Origin;Tunnel code;N.A.G.;Technicher Name
LC;121079.1212;8432647208686;PanReac AppliChem;Isoamylalkohol nach Gerber zur Analyse;Isoamyl Alcohol according to Gerber for analysis;2,5;L;LTR;Chemica;123-51-3;6.2;39020206;;29051900;204-633-5;C?H??OH;UN1105;(D/E);PENTANOLE;3/III;Ja;0,810 kg/l;-117,2 °C;;72;3;1;88,15 g/mol;H226-H315-H318-H332-H335;P210-P233-P240-P241-P242-P243-P261-P264-P271-P280-P302+P352-P303+P361+P353-P304+P340-P305+P351+P338-P312-P332+P313-P337+P313-P362-P370+P378-P403+P233-P403+P235-P405-P501;Gefahr;GHS02 GHS05 GHS07;RT;Nein;Ja;Nein;;Nein;Nein;;2,188;2,025;2,5;https://www.itwreagents.com/download_file/tds/121079/en/tds_121079_en.pdf;;https://www.itwreagents.com/download_file/sds/121079/de/sds_121079_de.pdf;https://www.itwreagents.com/download_file/sds/121079/ch/sds_121079_de.pdf;Ja;LC-group.png;flüssig;zur Analyse;zur Bestimmung von Fetten in der Milch;;;liquid;for analysis;for determination of fat in milk;;;(D/E);;Pentanole
LC;121096.0416;8432647209140;PanReac AppliChem;Stärke (aus Kartoffeln), löslich (Reag. Ph. Eur.) zur Analyse;Starch from Potato soluble (Reag. Ph. Eur.) for analysis;25;kg;KGM;Chemica;9005-84-9;6.2;26020901;;35051090;232-686-4;(C?H??O?)n;;;;;Nein;;;;72;10 - 13;nwg;162,14 (n) g/mol;;;;;RT;Nein;Ja;Nein;;Nein;Nein;;26,500;25,000;;https://www.itwreagents.com/download_file/tds/121096/en/tds_121096_en.pdf;;https://www.itwreagents.com/download_file/sds/121096/de/sds_121096_de.pdf;https://www.itwreagents.com/download_file/sds/121096/ch/sds_121096_de.pdf;Ja;LC-group.png;fest;zur Analyse;Indikator für Iodmetrie;;;solid;for analysis;indicator for iodometry;;;;;
LC;121096.1210;8432647209188;PanReac AppliChem;Stärke (aus Kartoffeln), löslich (Reag. Ph. Eur.) zur Analyse;Starch from Potato soluble (Reag. Ph. Eur.) for analysis;500;g;GRM;Chemica;9005-84-9;6.2;26020901;;35051090;232-686-4;(C?H??O?)n;;;;;Nein;;;;72;10 - 13;nwg;162,14 (n) g/mol;;;;;RT;Nein;Ja;Nein;;Nein;Nein;;0,560;0,500;;https://www.itwreagents.com/download_file/tds/121096/en/tds_121096_en.pdf;;https://www.itwreagents.com/download_file/sds/121096/de/sds_121096_de.pdf;https://www.itwreagents.com/download_file/sds/121096/ch/sds_121096_de.pdf;Ja;LC-group.png;fest;zur Analyse;Indikator für Iodmetrie;;;solid;for analysis;indicator for iodometry;;;;;
LC;121096.1211;8432647209195;PanReac AppliChem;Stärke (aus Kartoffeln), löslich (Reag. Ph. Eur.) zur Analyse;Starch from Potato soluble (Reag. Ph. Eur.) for analysis;1000;g;GRM;Chemica;9005-84-9;6.2;26020901;;35051090;232-686-4;(C?H??O?)n;;;;;Nein;;;;72;10 - 13;nwg;162,14 (n) g/mol;;;;;RT;Nein;Ja;Nein;;Nein;Nein;;1,100;1,000;;https://www.itwreagents.com/download_file/tds/121096/en/tds_121096_en.pdf;;https://www.itwreagents.com/download_file/sds/121096/de/sds_121096_de.pdf;https://www.itwreagents.com/download_file/sds/121096/ch/sds_121096_de.pdf;Ja;LC-group.png;fest;zur Analyse;Indikator für Iodmetrie;;;solid;for analysis;indicator for iodometry;;;;;
LC;121129.0716;8432647209560;PanReac AppliChem;Ammoniak 25% (Reag. USP, Ph. Eur.) zur Analyse;Ammonia 25% (as NH3) (Reag. USP, Ph. Eur.) for analysis;25;L;LTR;;1336-21-6;6.2;38060103;;28142000;215-647-6;NH?;UN2672;(E);AMMONIAKLÖSUNG;8/III;Nein;0,905 kg/l;;;72;8 B;2;17,03 g/mol;H314-H335-H400;P260-P261-P264-P271-P273-P280-P301+P330+P331-P303+P361+P353-P304+P340-P305+P351+P338-P310-P312-P321-P363-P391-P403+P233-P405-P501;Gefahr;GHS05 GHS07 GHS09;RT;Nein;Ja;Nein;;Nein;Nein;;23,925;22,625;25;https://www.itwreagents.com/download_file/tds/121129/en/tds_121129_en.pdf;;https://www.itwreagents.com/download_file/sds/121129/de/sds_121129_de.pdf;https://www.itwreagents.com/download_file/sds/121129/ch/sds_121129_de.pdf;Ja;LC-group.png;flüssig;zur Analyse;;;;liquid;for analysis;;;;(E);;Ammonia solution                                                                                    
LC;121129.1214;8432647209614;PanReac AppliChem;Ammoniak 25% (Reag. USP, Ph. Eur.) zur Analyse;Ammonia 25% (as NH3) (Reag. USP, Ph. Eur.) for analysis;5;L;LTR;Chemica;1336-21-6;6.2;38060103;;28142000;215-647-6;NH?;UN2672;(E);AMMONIAKLÖSUNG;8/III;Ja;0,905 kg/l;;;72;8 B;2;17,03 g/mol;H314-H335-H400;P260-P261-P264-P271-P273-P280-P301+P330+P331-P303+P361+P353-P304+P340-P305+P351+P338-P310-P312-P321-P363-P391-P403+P233-P405-P501;Gefahr;GHS05 GHS07 GHS09;RT;Nein;Ja;Nein;;Nein;Nein;;4,825;4,525;5;https://www.itwreagents.com/download_file/tds/121129/en/tds_121129_en.pdf;;https://www.itwreagents.com/download_file/sds/121129/de/sds_121129_de.pdf;https://www.itwreagents.com/download_file/sds/121129/ch/sds_121129_de.pdf;Ja;121129.1214.png;flüssig;zur Analyse;;;;liquid;for analysis;;;;(E);;Ammonia solution                                                                                    
LC;121129.1611;8432647209645;PanReac AppliChem;Ammoniak 25% (Reag. USP, Ph. Eur.) zur Analyse;Ammonia 25% (as NH3) (Reag. USP, Ph. Eur.) for analysis;1000;ml;MLT;Chemica;1336-21-6;6.2;38060103;;28142000;215-647-6;NH?;UN2672;(E);AMMONIAKLÖSUNG;8/III;Ja;0,905 kg/l;;;72;8 B;2;17,03 g/mol;H314-H335-H400;P260-P261-P264-P271-P273-P280-P301+P330+P331-P303+P361+P353-P304+P340-P305+P351+P338-P310-P312-P321-P363-P391-P403+P233-P405-P501;Gefahr;GHS05 GHS07 GHS09;RT;Nein;Ja;Nein;;Nein;Nein;;1,612;0,905;1;https://www.itwreagents.com/download_file/tds/121129/en/tds_121129_en.pdf;;https://www.itwreagents.com/download_file/sds/121129/de/sds_121129_de.pdf;https://www.itwreagents.com/download_file/sds/121129/ch/sds_121129_de.pdf;Ja;121129.1611.png;flüssig;zur Analyse;;;;liquid;for analysis;;;;(E);;Ammonia solution                                                                                    
LC;121160.0416;;PanReac AppliChem;Seesand zur Analyse;Sea Sand for analysis;25;kg;KGM;Chemica;14808-60-7;6.2;26010501;;25051000;238-878-4;;;;;;Nein;ca. 1430 kg/m³;;RT;60;10 - 13;nwg;;;;;;RT;Nein;Ja;Nein;;Nein;Nein;;25,640;25,000;;https://www.itwreagents.com/download_file/tds/121160/en/tds_121160_en.pdf;;https://www.itwreagents.com/download_file/sds/121160/de/sds_121160_de.pdf;https://www.itwreagents.com/download_file/sds/121160/ch/sds_121160_de.pdf;Ja;LC-group.png;fest;;;;;Solid;;;;;;;
LC;121160.1211;;PanReac AppliChem;Seesand zur Analyse;Sea Sand for analysis;1;kg;KGM;Chemica;14808-60-7;6.2;26010501;;25051000;238-878-4;;;;;;Nein;ca. 1430 kg/m³;;RT;60;10 - 13;nwg;;;;;;RT;Nein;Ja;Nein;;Nein;Nein;;1,090;1,000;;https://www.itwreagents.com/download_file/tds/121160/en/tds_121160_en.pdf;;https://www.itwreagents.com/download_file/sds/121160/de/sds_121160_de.pdf;https://www.itwreagents.com/download_file/sds/121160/ch/sds_121160_de.pdf;Ja;LC-group.png;fest;;;;;Solid;;;;;;;
LC;121160.1214;;PanReac AppliChem;Seesand zur Analyse;Sea Sand for analysis;5;kg;KGM;Chemica;14808-60-7;6.2;26010501;;25051000;238-878-4;;;;;;Nein;ca. 1430 kg/m³;;RT;60;10 - 13;nwg;;;;;;RT;Nein;Ja;Nein;;Nein;Nein;;5,320;5,000;;https://www.itwreagents.com/download_file/tds/121160/en/tds_121160_en.pdf;;https://www.itwreagents.com/download_file/sds/121160/de/sds_121160_de.pdf;https://www.itwreagents.com/download_file/sds/121160/ch/sds_121160_de.pdf;Ja;LC-group.png;fest;;;;;Solid;;;;;;;
LC;121214.0416;8432647210436;PanReac AppliChem;Calciumchlorid - Hexahydrat zur Analyse;Calcium Chloride 6-hydrate for analysis;25;kg;KGM;Chemica;7774-34-7;6.2;38050209;;28272000;233-140-8;CaCl?.6H?O;;;;;Nein;;30 °C;;72;10 - 13;1;219,09 g/mol;H319;P264-P280-P305+P351+P338-P337+P313;Achtung;GHS07;RT;Nein;Ja;Nein;;Nein;Nein;;26,500;25,000;;https://www.itwreagents.com/download_file/tds/121214/en/tds_121214_en.pdf;;https://www.itwreagents.com/download_file/sds/121214/de/sds_121214_de.pdf;https://www.itwreagents.com/download_file/sds/121214/ch/sds_121214_de.pdf;Ja;LC-group.png;fest;zur Analyse;;;;solid;for analysis;;;;;;
LC;121214.1211;8432647210443;PanReac AppliChem;Calciumchlorid - Hexahydrat zur Analyse;Calcium Chloride 6-hydrate for analysis;1000;g;GRM;;7774-34-7;6.2;38050209;;28272000;233-140-8;CaCl?.6H?O;;;;;Nein;;30 °C;;72;10 - 13;1;219,09 g/mol;H319;P264-P280-P305+P351+P338-P337+P313;Achtung;GHS07;RT;Nein;Ja;Nein;;Nein;Nein;;5,275;1,000;;https://www.itwreagents.com/download_file/tds/121214/en/tds_121214_en.pdf;;https://www.itwreagents.com/download_file/sds/121214/de/sds_121214_de.pdf;https://www.itwreagents.com/download_file/sds/121214/ch/sds_121214_de.pdf;Ja;LC-group.png;fest;zur Analyse;;;;solid;for analysis;;;;;;
LC;121237.0416;8432647210672;PanReac AppliChem;Aktivkohle Pulver zur Analyse;Charcoal Activated powder for analysis;25;kg;KGM;Chemica;7440-44-0;6.2;30010601;;38021000;231-153-3;C;;;;;Nein;;;;72;10 - 13;nwg;12,01 g/mol;;;;;RT;Nein;Ja;Nein;;Nein;Nein;;28,600;25,000;;https://www.itwreagents.com/download_file/tds/121237/en/tds_121237_en.pdf;;https://www.itwreagents.com/download_file/sds/121237/de/sds_121237_de.pdf;https://www.itwreagents.com/download_file/sds/121237/ch/sds_121237_de.pdf;Ja;LC-group.png;fest;zur Analyse;Adsorptionsmittel;;;solid;for analysis;Bleacher;;;;;
LC;121237.1610;8432647210702;PanReac AppliChem;Aktivkohle Pulver zur Analyse;Charcoal Activated powder for analysis;500;g;GRM;Chemica;7440-44-0;6.2;30010601;;38021000;231-153-3;C;;;;;Nein;;;;72;10 - 13;nwg;12,01 g/mol;;;;;RT;Nein;Ja;Nein;;Nein;Nein;;1,850;0,500;;https://www.itwreagents.com/download_file/tds/121237/en/tds_121237_en.pdf;;https://www.itwreagents.com/download_file/sds/121237/de/sds_121237_de.pdf;https://www.itwreagents.com/download_file/sds/121237/ch/sds_121237_de.pdf;Ja;LC-group.png;fest;zur Analyse;Adsorptionsmittel;;;solid;for analysis;Bleacher;;;;;
LC;121248.1208;8432647210771;PanReac AppliChem;Cer(IV)-sulfat - Tetrahydrat (Reag. USP, Ph. Eur.) zur Analyse;Cerium(IV) Sulfate 4-hydrate (Reag. USP, Ph. Eur.) for analysis;100;g;GRM;Chemica;10294-42-5;6.2;38160417;Cer(IV)-sulfat -Tetrahydrat;28461000;237-029-5;Ce(SO?)?.4H?O;UN1759;(E);ÄTZENDER FESTER STOFF, N.A.G.;8/II;Ja;;;;72;8 B;1;404,30 g/mol;H314-H410;P260-P273-P280-P301+P330+P331-P303+P361+P353-P305+P351+P338-P501;Gefahr;GHS05 GHS09;RT;Nein;Ja;Nein;;Nein;Nein;;0,128;0,100;;https://www.itwreagents.com/download_file/tds/121248/en/tds_121248_en.pdf;;https://www.itwreagents.com/download_file/sds/121248/de/sds_121248_de.pdf;https://www.itwreagents.com/download_file/sds/121248/ch/sds_121248_de.pdf;Ja;LC-group.png;fest;zur Analyse;;;;solid;for analysis;;;;(E);Cerium(IV) Sulphate 4-hydrate;CORROSIVE SOLID, N.O.S.
LC;121248.1214;8432647210801;PanReac AppliChem;Cer(IV)-sulfat - Tetrahydrat (Reag. USP, Ph. Eur.) zur Analyse;Cerium(IV) Sulfate 4-hydrate (Reag. USP, Ph. Eur.) for analysis;5;kg;KGM;Chemica;10294-42-5;6.2;38160417;Cer(IV)-sulfat -Tetrahydrat;28461000;237-029-5;Ce(SO?)?.4H?O;UN1759;(E);ÄTZENDER FESTER STOFF, N.A.G.;8/II;Nein;;;;72;8 B;1;404,30 g/mol;H314-H410;P260-P273-P280-P301+P330+P331-P303+P361+P353-P305+P351+P338-P501;Gefahr;GHS05 GHS09;RT;Nein;Ja;Nein;;Nein;Nein;;5,546;5,000;;https://www.itwreagents.com/download_file/tds/121248/en/tds_121248_en.pdf;;https://www.itwreagents.com/download_file/sds/121248/de/sds_121248_de.pdf;https://www.itwreagents.com/download_file/sds/121248/ch/sds_121248_de.pdf;Ja;LC-group.png;fest;zur Analyse;;;;solid;for analysis;;;;(E);Cerium(IV) Sulphate 4-hydrate;CORROSIVE SOLID, N.O.S.
LC;121316.0716;8432647211297;PanReac AppliChem;Ethylenglycol (Reag. USP, Ph. Eur.) zur Analyse;Ethylene Glycol (Reag. USP, Ph. Eur.) for analysis;25;L;LTR;Chemica;107-21-1;6.2;39020501;;29053100;203-473-3;CH?OHCH?OH;;;;;Nein;1,115 kg/l;-12 °C;;72;10 - 13;1;62,07 g/mol;H302;P264-P270-P301+P312-P330-P501;Achtung;GHS07;RT;Nein;Ja;Nein;;Nein;Nein;;29,175;27,875;25;https://www.itwreagents.com/download_file/tds/121316/en/tds_121316_en.pdf;;https://www.itwreagents.com/download_file/sds/121316/de/sds_121316_de.pdf;https://www.itwreagents.com/download_file/sds/121316/ch/sds_121316_de.pdf;Ja;LC-group.png;flüssig;zur Analyse;;;;liquid;for analysis;;;;;;
LC;121316.0719;8432647211310;PanReac AppliChem;Ethylenglycol (Reag. USP, Ph. Eur.) zur Analyse;Ethylene Glycol (Reag. USP, Ph. Eur.) for analysis;200;L;LTR;Chemica;107-21-1;6.2;39020501;;29053100;203-473-3;CH?OHCH?OH;;;;;Nein;1,115 kg/l;-12 °C;;72;10 - 13;1;62,07 g/mol;H302;P264-P270-P301+P312-P330-P501;Achtung;GHS07;RT;Nein;Ja;Nein;;Nein;Nein;;231,000;223,000;200;https://www.itwreagents.com/download_file/tds/121316/en/tds_121316_en.pdf;;https://www.itwreagents.com/download_file/sds/121316/de/sds_121316_de.pdf;https://www.itwreagents.com/download_file/sds/121316/ch/sds_121316_de.pdf;Ja;LC-group.png;flüssig;zur Analyse;;;;liquid;for analysis;;;;;;
LC;121316.1211;8432647211334;PanReac AppliChem;Ethylenglycol (Reag. USP, Ph. Eur.) zur Analyse;Ethylene Glycol (Reag. USP, Ph. Eur.) for analysis;1000;ml;MLT;Chemica;107-21-1;6.2;39020501;;29053100;203-473-3;CH?OHCH?OH;;;;;Nein;1,115 kg/l;-12 °C;;72;10 - 13;1;62,07 g/mol;H302;P264-P270-P301+P312-P330-P501;Achtung;GHS07;RT;Nein;Ja;Nein;;Nein;Nein;;1,195;1,115;1;https://www.itwreagents.com/download_file/tds/121316/en/tds_121316_en.pdf;;https://www.itwreagents.com/download_file/sds/121316/de/sds_121316_de.pdf;https://www.itwreagents.com/download_file/sds/121316/ch/sds_121316_de.pdf;Ja;LC-group.png;flüssig;zur Analyse;;;;liquid;for analysis;;;;;;
